term,estimate,std.error
sigma0,0.410005397324336,0.0450814376677723
beta,1.21982120793576,0.0314769193014047
kappa,0.811695365136768,0.0211532510612153
R1_K[1],0.973136754895089,0.0334465091146515
R1_K[2],0.260255530597635,0.0250765298886738
R1_K[3],0.191157162951071,0.0153326826857396
mu0_true,0.264282215863939,0.0722961200334313
sigma0,0.564207572753458,0.0581537456274311
beta,1.16055512428753,0.0299157054919972
kappa,0.829102904321955,0.023137453163937
R1_K[1],0.970382436674002,0.0352547170289711
R1_K[2],0.312130656721444,0.031356870041493
R1_K[3],0.263927972635989,0.0186959858084129
mu0_true,0.227036119014904,0.089680512884837
sigma0,0.470854358658374,0.0513654892828419
beta,1.16095524037137,0.0299680422593307
kappa,0.82328779334045,0.020511977699316
R1_K[1],1.01675959051819,0.0323928648544818
R1_K[2],0.281857982923503,0.0287057085979715
R1_K[3],0.200890476201306,0.0161242794826943
mu0_true,0.149514067880619,0.0774548801237848
sigma0,0.505255248565735,0.049547183739689
beta,1.18320085952297,0.028153013544919
kappa,0.790773998892895,0.0209090349395174
R1_K[1],1.00690931841589,0.0327890245282122
R1_K[2],0.283052489362873,0.029145648804779
R1_K[3],0.200449149435648,0.0149218322489282
mu0_true,0.19827705682126,0.0797761583231004
sigma0,0.505255248565735,0.049547183739689
beta,1.18320085952297,0.028153013544919
kappa,0.790773998892895,0.0209090349395174
R1_K[1],1.00690931841589,0.0327890245282122
R1_K[2],0.283052489362873,0.029145648804779
R1_K[3],0.200449149435648,0.0149218322489282
mu0_true,0.19827705682126,0.0797761583231004
sigma0,0.505255248565735,0.049547183739689
beta,1.18320085952297,0.028153013544919
kappa,0.790773998892895,0.0209090349395174
R1_K[1],1.00690931841589,0.0327890245282122
R1_K[2],0.283052489362873,0.029145648804779
R1_K[3],0.200449149435648,0.0149218322489282
mu0_true,0.19827705682126,0.0797761583231004
sigma0,0.62045517161845,0.0626731624620499
beta,1.20806190037115,0.0308830415609493
kappa,0.806072122511976,0.0208207116617751
R1_K[1],0.967527261869875,0.0337643852579045
R1_K[2],0.275978022526741,0.0290649624555168
R1_K[3],0.206877567441743,0.0154195483920977
mu0_true,0.321256704507717,0.0916737830337967
sigma0,0.51040360670994,0.0501377576093473
beta,1.18432947744866,0.0281761195676629
kappa,0.798783521962691,0.019902517885079
R1_K[1],1.00083054458306,0.033034299145236
R1_K[2],0.340281260469,0.0258774982350291
R1_K[3],0.197161154531096,0.0150122351618987
mu0_true,0.252424375665251,0.0763272563332636
sigma0,0.409349395004626,0.044082987656175
beta,1.18410982566347,0.0331370857558335
kappa,0.801813375062914,0.0238379786539201
R1_K[1],1.02089613817169,0.039032547651261
R1_K[2],0.322887720114665,0.0323446882714967
R1_K[3],0.172592741327175,0.0173608413247922
mu0_true,0.355936724465341,0.0787849768805476
sigma0,0.513711574596149,0.0513614182524264
beta,1.16282176451696,0.028180217514452
kappa,0.818407178325217,0.0202646041357363
R1_K[1],1.03516439902984,0.0326143290771951
R1_K[2],0.303952119029564,0.0290539785121426
R1_K[3],0.196660680148919,0.0159939620753112
mu0_true,0.217117373663478,0.0829566632188186
sigma0,0.501304540236849,0.0493457274010193
beta,1.18212814310778,0.0302082132156734
kappa,0.845766282569715,0.0221006825152596
R1_K[1],1.02508713991584,0.0334605447329222
R1_K[2],0.27094490947644,0.0283135328333945
R1_K[3],0.197016351063736,0.0160533575514902
mu0_true,0.311617790557559,0.0829339906111727
sigma0,0.541816584778157,0.054091081166464
beta,1.19511478238433,0.030667447113316
kappa,0.819429170637088,0.021190567931892
R1_K[1],1.00521852903013,0.0329104658503896
R1_K[2],0.302583061130468,0.0248106811586631
R1_K[3],0.199642551455153,0.0172174050830829
mu0_true,0.213490215602263,0.0835679456136044
sigma0,0.549008625966354,0.0557777036837186
beta,1.15838661475825,0.0298283180564816
kappa,0.818580415652116,0.0218789304157382
R1_K[1],1.02959280707539,0.0350675448533477
R1_K[2],0.293638739587555,0.0258155991640786
R1_K[3],0.201705623221808,0.0185385725750801
mu0_true,0.17327717580901,0.0849396633390977
sigma0,0.504566704587138,0.0508150829717516
beta,1.21557276638786,0.0288426571215561
kappa,0.81017827736146,0.0212833022705884
R1_K[1],0.979945975434595,0.0314572990552036
R1_K[2],0.294921690391435,0.0242459565296805
R1_K[3],0.205905273905493,0.0158274812810055
mu0_true,0.276502596619229,0.076159452527961
sigma0,0.504024444421935,0.0497963481677794
beta,1.17205673947143,0.0285859608136621
kappa,0.811400021419889,0.0210615834992944
R1_K[1],1.04324407860261,0.0319132466376143
R1_K[2],0.31268858457444,0.0227364137055153
R1_K[3],0.19266519301179,0.0185652187215043
mu0_true,0.233273400820195,0.0788792368054915
sigma0,0.517557096706688,0.0532179074323632
beta,1.19703451676833,0.0300160999712539
kappa,0.794806518342516,0.0205512669362381
R1_K[1],1.03717725294553,0.0326756533449886
R1_K[2],0.269373106308694,0.0291749502274
R1_K[3],0.183065603413199,0.0166082112168805
mu0_true,0.263897870378727,0.080044282148258
sigma0,0.510217900395203,0.0529862371997871
beta,1.17594072866051,0.0287406573073653
kappa,0.799685611204661,0.0210861872930989
R1_K[1],1.01182885642214,0.0315451935880096
R1_K[2],0.289155220029732,0.0261939982539666
R1_K[3],0.187076062319691,0.0159227174119678
mu0_true,0.268791148895886,0.0789843207353287
sigma0,0.450168996772945,0.0492790534617665
beta,1.16108336022272,0.0312548659711571
kappa,0.825493704908746,0.022928654952489
R1_K[1],1.08777596068198,0.0403908942212314
R1_K[2],0.361169980196304,0.0312017352378112
R1_K[3],0.229907390200403,0.0188623752831353
mu0_true,0.0457455302226019,0.082227214184679
sigma0,0.522657066065221,0.053663360888586
beta,1.16935242144731,0.0305857671533598
kappa,0.839050462592885,0.0225290902289392
R1_K[1],1.00124720544158,0.0365254956453381
R1_K[2],0.303680667628383,0.0247826973976216
R1_K[3],0.202634860968303,0.0158096587606701
mu0_true,0.258448503110445,0.0833148054265594
sigma0,0.555302177064274,0.0570037747886069
beta,1.19821547303048,0.0302578144023729
kappa,0.780198750650589,0.0202553741919197
R1_K[1],1.01288870310256,0.0335219538139775
R1_K[2],0.253500654798203,0.0268839196270536
R1_K[3],0.209264672992131,0.0164888274815806
mu0_true,0.20271412478185,0.0856671555066494
sigma0,0.489623580840094,0.0491810243042516
beta,1.20178861218217,0.0287132875253934
kappa,0.799415244182549,0.0201322707655857
R1_K[1],1.00509808883548,0.03235218020992
R1_K[2],0.310484323914096,0.0268143213749693
R1_K[3],0.226275974082007,0.015973014663608
mu0_true,0.0422742613371003,0.077261742882151
sigma0,0.578335744312518,0.057196759505615
beta,1.18543077892894,0.0273540090786118
kappa,0.782535905331192,0.0195170095072728
R1_K[1],1.03886498007562,0.0325050562555039
R1_K[2],0.301758563761627,0.0271252431775583
R1_K[3],0.2038207731699,0.0142809704802172
mu0_true,0.0660737075348008,0.0852176841044982
sigma0,0.538045527975608,0.0517723547549255
beta,1.18464653534001,0.0309634993017711
kappa,0.784465255209908,0.0206366550939994
R1_K[1],0.992712675594257,0.0319723561623903
R1_K[2],0.32409810677313,0.031361739712242
R1_K[3],0.205834192959015,0.0188477477609377
mu0_true,0.165729075558678,0.0850168084952721
sigma0,0.575369642003558,0.058893820436426
beta,1.18346885317378,0.0289986391113319
kappa,0.798439743892423,0.0210286668216225
R1_K[1],1.00401461325277,0.0316976818010108
R1_K[2],0.305299001083802,0.0263269575139052
R1_K[3],0.211487189128824,0.0166857653750079
mu0_true,0.2504943319069,0.0871831294856137
sigma0,0.526664054758768,0.0570433543407614
beta,1.14203944088957,0.0314581266920726
kappa,0.854700041522519,0.0235788144104397
R1_K[1],1.035944652202,0.0392847399389763
R1_K[2],0.281280873539654,0.0279090803354876
R1_K[3],0.207179398366048,0.019272292419202
mu0_true,0.268283352072663,0.08469861394401
sigma0,0.526664054758768,0.0570433543407614
beta,1.14203944088957,0.0314581266920726
kappa,0.854700041522519,0.0235788144104397
R1_K[1],1.035944652202,0.0392847399389763
R1_K[2],0.281280873539654,0.0279090803354876
R1_K[3],0.207179398366048,0.019272292419202
mu0_true,0.268283352072663,0.08469861394401
sigma0,0.529619110735503,0.0499772649386196
beta,1.21430599850751,0.0285391977463098
kappa,0.793733740572673,0.0183983070129309
R1_K[1],1.021797504253,0.0289751936912256
R1_K[2],0.302443325036253,0.0277514089400756
R1_K[3],0.19361262999504,0.0160290982659867
mu0_true,0.189958577294591,0.0841167835126482
sigma0,0.493617988157771,0.0505347349800265
beta,1.20923308200949,0.030740212719743
kappa,0.769851537851757,0.0202851646204408
R1_K[1],1.01195836335359,0.0344561417239425
R1_K[2],0.258949748787383,0.0244423010379578
R1_K[3],0.194781510041326,0.0165798772912432
mu0_true,0.150876610611249,0.0806253689028995
sigma0,0.468037012860223,0.0504624409921967
beta,1.21213599326194,0.0321115813242128
kappa,0.793256862916931,0.0206008832724272
R1_K[1],1.02159478191908,0.0342481933482173
R1_K[2],0.305939904551219,0.0287082115147879
R1_K[3],0.20374854508509,0.0164707115444523
mu0_true,0.184204510376633,0.0780307380270851
sigma0,0.481631092446439,0.0502456600285337
beta,1.21360942880833,0.0306871388965056
kappa,0.79409883011403,0.0215859803652259
R1_K[1],0.987943631996039,0.0348020294810818
R1_K[2],0.255941371326461,0.0236781746071821
R1_K[3],0.191499159937435,0.0165061955739388
mu0_true,0.313756169254256,0.0790018417289644
sigma0,0.481631092446439,0.0502456600285337
beta,1.21360942880833,0.0306871388965056
kappa,0.79409883011403,0.0215859803652259
R1_K[1],0.987943631996039,0.0348020294810818
R1_K[2],0.255941371326461,0.0236781746071821
R1_K[3],0.191499159937435,0.0165061955739388
mu0_true,0.313756169254256,0.0790018417289644
sigma0,0.478190647880712,0.0461444831993489
beta,1.25803864942324,0.0310160074339762
kappa,0.798507938371582,0.0207892068952374
R1_K[1],0.936754227836042,0.0314537897233135
R1_K[2],0.284103631831582,0.0267132780001386
R1_K[3],0.203241276802758,0.0143707939506294
mu0_true,0.299820675405246,0.0746277193548747
sigma0,0.468637249104898,0.0485750664422417
beta,1.22461462294455,0.0308955925642925
kappa,0.785847906249973,0.0217158731117023
R1_K[1],0.966004659005883,0.0338853114435591
R1_K[2],0.305675413942571,0.0278350804501275
R1_K[3],0.210248736492753,0.0185785536868553
mu0_true,0.155886396620742,0.0808607364190643
sigma0,0.606654025674361,0.0588664664359357
beta,1.19220016473886,0.0270498945821172
kappa,0.768995216414355,0.0179659504765712
R1_K[1],0.993285487055625,0.0299409764586764
R1_K[2],0.356685845187558,0.0269466775688016
R1_K[3],0.208034728851562,0.0140083116950872
mu0_true,0.0558466079894702,0.0852889467731347
sigma0,0.463548732337414,0.0478069700767065
beta,1.2021567456628,0.0295282176486231
kappa,0.786737660515102,0.0207183724764474
R1_K[1],0.988852324824706,0.0325056633202803
R1_K[2],0.307772916076922,0.0250301312368065
R1_K[3],0.192186610459122,0.0161094906471413
mu0_true,0.205234094842705,0.0771289013893732
sigma0,0.466847195474295,0.047110831531498
beta,1.26550727236302,0.0328242396913438
kappa,0.788014068781713,0.0216074178870774
R1_K[1],0.937311681989437,0.033103137890763
R1_K[2],0.262162406925629,0.0259995915588153
R1_K[3],0.2103315346811,0.0154800974627214
mu0_true,0.287252674916051,0.0762658144905236
sigma0,0.485576644997949,0.0495843772484386
beta,1.18545550884713,0.028536085956972
kappa,0.793497056094859,0.0195497537533541
R1_K[1],1.02525780619505,0.030648609222976
R1_K[2],0.324656197716459,0.0285056161293144
R1_K[3],0.220799899345392,0.0148250731690236
mu0_true,0.13193425394296,0.0795892049363483
sigma0,0.510753228661942,0.0522629693101038
beta,1.12480467451323,0.0309403399079675
kappa,0.828514272207524,0.0226883662089043
R1_K[1],1.0585977022171,0.0360076089077951
R1_K[2],0.354908057855778,0.0281656469588768
R1_K[3],0.202579602105952,0.0194865297546079
mu0_true,0.202790855182657,0.0846582780006041
sigma0,0.510753228661942,0.0522629693101038
beta,1.12480467451323,0.0309403399079675
kappa,0.828514272207524,0.0226883662089043
R1_K[1],1.0585977022171,0.0360076089077951
R1_K[2],0.354908057855778,0.0281656469588768
R1_K[3],0.202579602105952,0.0194865297546079
mu0_true,0.202790855182657,0.0846582780006041
sigma0,0.634003897441602,0.0624154856818884
beta,1.23346170024924,0.0294765459832524
kappa,0.762009740257854,0.020235458997523
R1_K[1],0.979181448556318,0.032646825060581
R1_K[2],0.295981647987986,0.0264421966778036
R1_K[3],0.230897345719692,0.0157279583556351
mu0_true,0.174044726720425,0.0971934407227449
sigma0,0.57376492547129,0.0612975778021993
beta,1.18398731805764,0.0315106065085906
kappa,0.79541016765091,0.0222274006459032
R1_K[1],1.0152781205285,0.035332071566339
R1_K[2],0.294051088123207,0.0286623244699786
R1_K[3],0.219749944506977,0.0189632784532139
mu0_true,0.282748000375102,0.0909686298339644
sigma0,0.555204908192394,0.0562039532384597
beta,1.17628116549387,0.0298003963614579
kappa,0.799792996695065,0.0207090010875131
R1_K[1],1.0292795683727,0.0318936400078854
R1_K[2],0.304864022564001,0.0251043640116049
R1_K[3],0.175910759894701,0.0146271534722844
mu0_true,0.269240648543504,0.083235863007582
sigma0,0.510631207594028,0.0531230503415351
beta,1.12652715464787,0.0272657489125834
kappa,0.843598210476896,0.0207499681176872
R1_K[1],1.07520097798381,0.0324630465775031
R1_K[2],0.297531835652041,0.0258167688148018
R1_K[3],0.195341308229946,0.0165724380994733
mu0_true,0.203897993203355,0.0821757608139357
sigma0,0.49621058899378,0.0505469291611161
beta,1.22605548316677,0.0314779078423122
kappa,0.784153722607142,0.0214349166387947
R1_K[1],0.9476312977163,0.0318228133667272
R1_K[2],0.330444085781159,0.0326270731363083
R1_K[3],0.185487331129169,0.0170131354636785
mu0_true,0.27142907217198,0.0817204354023224
sigma0,0.437716171667719,0.0456021315540774
beta,1.19563454957792,0.0316512792492886
kappa,0.790240217354026,0.021687245653833
R1_K[1],1.01153289493162,0.0364469226701094
R1_K[2],0.269445386382279,0.0293802419705286
R1_K[3],0.197544689044679,0.01841353048998
mu0_true,0.2598678989828,0.0774216845950983
sigma0,0.474963786630116,0.0486361236551282
beta,1.22072053639368,0.0336343008844841
kappa,0.81631515729246,0.0224684854914665
R1_K[1],0.967295529890744,0.0355915923882712
R1_K[2],0.280676849871869,0.0251972571268827
R1_K[3],0.171831534101928,0.0153222012644704
mu0_true,0.348176118000449,0.0773179975418281
sigma0,0.523579663375116,0.0495464577437063
beta,1.16698380818955,0.0277995976145324
kappa,0.823185420092808,0.0202150928492207
R1_K[1],1.0220071393115,0.031237510133879
R1_K[2],0.31128315099623,0.0254851362295007
R1_K[3],0.177232639718155,0.0150926707286091
mu0_true,0.288209442924331,0.0772493670502873
